Happiness,Health,Freedom,GovermentTrust,Generosity,Economy
7.587,0.94143,0.66557,0.41978,0.29678,1.39651
7.561,0.94784,0.62877,0.14145,0.4363,1.30232
7.527,0.87464,0.64938,0.48357,0.34139,1.32548
7.522,0.88521,0.66973,0.36503,0.34699,1.459
7.427,0.90563,0.63297,0.32957,0.45811,1.32629
7.406,0.88911,0.64169,0.41372,0.23351,1.29025
7.378,0.89284,0.61576,0.31814,0.4761,1.32944
7.364,0.91087,0.6598,0.43844,0.36262,1.33171
7.286,0.90837,0.63938,0.42922,0.47501,1.25018
7.284,0.93156,0.65124,0.35637,0.43562,1.33358
7.278,0.91387,0.41319,0.07785,0.33172,1.22857
7.226,0.86027,0.63376,0.10583,0.25497,0.95578
7.2,0.89042,0.62433,0.18676,0.33088,1.33723
7.187,0.81444,0.48181,0.21312,0.14074,1.02054
7.119,0.86179,0.54604,0.1589,0.40105,1.39451
6.983,0.69702,0.49049,0.17521,0.14574,0.98124
6.946,0.91894,0.61583,0.37798,0.28034,1.56391
6.94,0.89533,0.61777,0.28703,0.45901,1.33596
6.937,0.89667,0.5845,0.2254,0.2225,1.30782
6.901,0.80925,0.64157,0.38583,0.26428,1.42727
6.867,0.90943,0.59625,0.32067,0.51912,1.26637
6.853,0.76276,0.63274,0.32524,0.21542,1.36011
6.81,0.72052,0.42908,0.11069,0.05841,1.04424
6.798,1.02525,0.54252,0.4921,0.31105,1.52186
6.786,0.79661,0.5421,0.0927,0.24434,1.06353
6.75,0.89186,0.61477,0.21843,0.28214,1.32792
6.67,0.85857,0.44132,0.12869,0.33363,1.10715
6.611,0.79733,0.6404,0.52208,0.32573,1.69042
6.575,0.94579,0.55011,0.20646,0.12332,1.27778
6.574,0.78723,0.44974,0.08484,0.11451,1.05351
6.505,0.84483,0.46364,0.02652,0.10686,1.17898
6.485,0.8116,0.60362,0.24558,0.2324,1.06166
6.477,0.69077,0.53466,0.0512,0.18401,0.91861
6.455,0.7385,0.55664,0.03187,0.5763,0.9669
6.411,0.72025,0.31048,0.32524,0.13706,1.39541
6.329,0.95562,0.45951,0.06398,0.18227,1.23011
6.302,0.88721,0.60365,0.13586,0.51752,1.2074
6.298,0.8753,0.3974,0.08129,0.25376,1.29098
6.295,0.72492,0.55499,0.25609,0.16228,1.55422
6.269,0.6082,0.59657,0.13633,0.16991,0.99534
6.168,0.61483,0.55884,0.0114,0.31844,1.21183
6.13,0.67737,0.4035,0.11776,0.10692,0.76454
6.123,0.64425,0.57733,0.09472,0.27489,0.74553
6.003,0.59772,0.65821,0.30826,0.22837,0.63244
5.995,0.78902,0.31751,0.03431,0.16893,1.16891
5.987,0.99111,0.49615,0.1806,0.10705,1.27074
5.984,0.96538,0.33208,0.07857,0.18557,1.24461
5.975,0.79075,0.48574,0.1809,0.11541,0.86402
5.96,0.74716,0.45492,0.306,0.17362,1.32376
5.948,0.95446,0.26236,0.02901,0.22823,1.25114
5.89,0.5392,0.57414,0.088,0.20536,0.68133
5.889,0.61826,0.32818,0.01615,0.20951,0.59448
5.878,0.66098,0.53899,0.08242,0.3424,0.75985
5.855,0.64368,0.51649,0.08454,0.11827,1.12254
5.848,0.87337,0.60855,0.03787,0.25328,1.18498
5.833,0.73128,0.21342,0.01031,0.02641,1.14723
5.828,0.74314,0.55475,0.19317,0.27815,0.59325
5.824,0.73017,0.41496,0.05989,0.14982,0.90019
5.813,0.73608,0.37938,0.1909,0.11046,1.03192
5.791,0.77903,0.53122,0.04212,0.16759,1.12555
5.77,0.72394,0.53024,0.10501,0.33075,1.12486
5.759,0.78805,0.25883,0.0243,0.05444,1.08254
5.754,0.7038,0.41668,0.11023,0.18295,1.13145
5.716,0.66926,0.36679,0.03005,0.00199,1.13764
5.709,0.68741,0.50442,0.02299,0.2123,0.81038
5.695,0.92356,0.49027,0.1428,0.26169,1.20806
5.689,0.92356,0.40672,0.06146,0.30638,1.20813
5.605,0.61766,0.28579,0.17383,0.07822,0.93929
5.589,0.63132,0.24749,0.04741,0.2831,0.80148
5.548,0.53886,0.4761,0.30844,0.16979,0.95847
5.477,0.7095,0.56066,0.07521,0.37744,1.00761
5.474,1.01328,0.59608,0.37124,0.39478,1.38604
5.429,0.77361,0.44888,0.15184,0.0868,1.15174
5.399,0.63793,0.46611,0,0.51535,0.82827
5.36,0.74676,0.59444,0.10441,0.1686,0.63216
5.332,0.73172,0.22815,0.15746,0.12253,1.06098
5.286,0.65088,0.43477,0.04232,0.3003,0.47428
5.268,0.16007,0.34334,0.0403,0.27233,0.65435
5.253,0.57407,0.53206,0.15445,0.47998,0.77042
5.212,0.64045,0.3703,0.16065,0.07799,1.02389
5.194,0.51466,0.12102,0.10464,0.33671,0.59543
5.192,0.69639,0.40661,0.14293,0.11053,0.90198
5.192,0.72521,0.1826,0.14296,0.1614,0.97438
5.14,0.81658,0.51697,0.02781,0.08185,0.89012
5.129,0.29924,0.48827,0.12468,0.19591,0.47038
5.124,0.7689,0.35068,0.00649,0.13748,1.04345
5.123,0.74836,0.20107,0.02617,0.19231,0.92053
5.102,0.87519,0.51469,0.01078,0.13719,1.15991
5.098,0.72437,0.29671,0.06332,0.18226,1.11312
5.073,0.58114,0.62545,0.12279,0.24991,0.70532
5.057,0.43873,0.46582,0.39928,0.50318,0.18847
5.013,0.60954,0.41691,0.08546,0.07172,0.73479
5.007,0.73545,0.33457,0.05327,0.22359,0.91851
4.971,0.09131,0.34037,0.15603,0.22269,0.08308
4.959,0.81325,0.35733,0.06413,0.14272,0.87867
4.949,0.79081,0.09245,0.00227,0.24808,0.83223
4.898,0.07612,0.31767,0.12504,0.16388,0.37545
4.885,0.66825,0.57672,0.14234,0.21684,0.89537
4.876,0.54909,0.59591,0.24249,0.42192,0.59066
4.874,0.60268,0.43626,0.02666,0.3323,0.82819
4.867,0.07566,0.30658,0.0306,0.18259,0.71206
4.857,0.88213,0.07699,0.01397,0,1.15406
4.839,0.83947,0.33916,0.04582,0.21854,1.02564
4.8,0.75905,0.32112,0.02758,0.128,1.12094
4.788,0.6951,0.40148,0.06825,0.23027,0.59532
4.786,0.57379,0.47216,0.15072,0.22974,0.39047
4.739,0.73793,0.26268,0.06358,0.06431,0.88113
4.715,0.66015,0.24499,0.12905,0.11251,0.59867
4.694,0.60164,0.4082,0.12569,0.21222,0.39753
4.686,0.69805,0.30033,0.05863,0.38086,1.0088
4.681,0.6739,0.25123,0.02961,0.15275,0.79907
4.677,0.60237,0,0.13788,0.17922,0.98549
4.642,0.27688,0.33207,0.08884,0.11973,0.92049
4.633,0.40132,0.42342,0.04355,0.23087,0.54558
4.61,0.33475,0.25861,0.08079,0.18987,0.271
4.571,0.34201,0.28531,0.06232,0.24362,0.0712
4.565,0.51529,0.39786,0.08492,0.26475,0.64499
4.55,0.36878,0.10081,0.1466,0.19062,0.52107
4.518,0.38847,0.24425,0.17175,0.46187,0.26673
4.517,0.09806,0.22605,0.07625,0.24834,0
4.514,0.56874,0.38282,0.05907,0.32296,0.35997
4.512,0.44055,0.4345,0.15048,0.24325,0.19073
4.507,0,0.4084,0.08786,0.21488,0.33024
4.436,0.35874,0.24232,0.17461,0.219,0.45407
4.419,0.41435,0.42215,0.05839,0.37542,0.36471
4.369,0.36291,0.46074,0.28105,0.18093,0.44025
4.35,0.7299,0.19847,0.039,0.07855,0.76821
4.332,0.04776,0.49495,0.12474,0.10461,0.99355
4.307,0.48246,0.44017,0.19034,0.79588,0.27108
4.297,0.72926,0.40577,0.38331,0.05547,0.7419
4.292,0.22562,0.43054,0.06977,0.33128,0.01604
4.271,0.70806,0.53726,0.09179,0.40828,0.83524
