country,year,health,family,economy,freedom,generosity,corruption,dystopia,score
Finland,2019,0.986,1.587,1.34,0.596,0.153,0.393,,7.769
Denmark,2019,0.996,1.573,1.383,0.592,0.252,0.41,,7.6
Norway,2019,1.028,1.582,1.488,0.603,0.271,0.341,,7.554
Iceland,2019,1.026,1.624,1.38,0.591,0.354,0.118,,7.494
Netherlands,2019,0.999,1.522,1.396,0.557,0.322,0.298,,7.488
Switzerland,2019,1.052,1.526,1.452,0.572,0.263,0.343,,7.48
Sweden,2019,1.009,1.487,1.387,0.574,0.267,0.373,,7.343
New Zealand,2019,1.026,1.557,1.303,0.585,0.33,0.38,,7.307
Canada,2019,1.039,1.505,1.365,0.584,0.285,0.308,,7.278
Austria,2019,1.016,1.475,1.376,0.532,0.244,0.226,,7.246
Australia,2019,1.036,1.548,1.372,0.557,0.332,0.29,,7.228
Costa Rica,2019,0.963,1.441,1.034,0.558,0.144,0.093,,7.167
Israel,2019,1.029,1.455,1.276,0.371,0.261,0.082,,7.139
Luxembourg,2019,1.012,1.479,1.609,0.526,0.194,0.316,,7.09
United Kingdom,2019,0.996,1.538,1.333,0.45,0.348,0.278,,7.054
Ireland,2019,0.999,1.553,1.499,0.516,0.298,0.31,,7.021
Germany,2019,0.987,1.454,1.373,0.495,0.261,0.265,,6.985
Belgium,2019,0.986,1.504,1.356,0.473,0.16,0.21,,6.923
United States,2019,0.874,1.457,1.433,0.454,0.28,0.128,,6.892
Czech Republic,2019,0.92,1.487,1.269,0.457,0.046,0.036,,6.852
United Arab Emirates,2019,0.825,1.31,1.503,0.598,0.262,0.182,,6.825
Malta,2019,0.999,1.52,1.3,0.564,0.375,0.151,,6.726
Mexico,2019,0.861,1.323,1.07,0.433,0.074,0.073,,6.595
France,2019,1.045,1.472,1.324,0.436,0.111,0.183,,6.592
Taiwan,2019,0.914,1.43,1.368,0.351,0.242,0.097,,6.446
Chile,2019,0.92,1.369,1.159,0.357,0.187,0.056,,6.444
Guatemala,2019,0.746,1.269,0.8,0.535,0.175,0.078,,6.436
Saudi Arabia,2019,0.795,1.357,1.403,0.439,0.08,0.132,,6.375
Qatar,2019,0.871,1.313,1.684,0.555,0.22,0.167,,6.374
Spain,2019,1.062,1.484,1.286,0.362,0.153,0.079,,6.354
Panama,2019,0.91,1.442,1.149,0.516,0.109,0.054,,6.321
Brazil,2019,0.802,1.439,1.004,0.39,0.099,0.086,,6.3
Uruguay,2019,0.891,1.465,1.124,0.523,0.127,0.15,,6.293
Singapore,2019,1.141,1.463,1.572,0.556,0.271,0.453,,6.262
El Salvador,2019,0.789,1.242,0.794,0.43,0.093,0.074,,6.253
Italy,2019,1.039,1.488,1.294,0.231,0.158,0.03,,6.223
Bahrain,2019,0.871,1.368,1.362,0.536,0.255,0.11,,6.199
Slovakia,2019,0.881,1.504,1.246,0.334,0.121,0.014,,6.198
Trinidad & Tobago,2019,0.713,1.477,1.231,0.489,0.185,0.016,,6.192
Poland,2019,0.884,1.438,1.206,0.483,0.117,0.05,,6.182
Uzbekistan,2019,0.756,1.529,0.745,0.631,0.322,0.24,,6.174
Lithuania,2019,0.818,1.515,1.238,0.291,0.043,0.042,,6.149
Colombia,2019,0.841,1.41,0.985,0.47,0.099,0.034,,6.125
Slovenia,2019,0.953,1.523,1.258,0.564,0.144,0.057,,6.118
Nicaragua,2019,0.835,1.325,0.694,0.435,0.2,0.127,,6.105
Kosovo,2019,0.758,1.232,0.882,0.489,0.262,0.006,,6.1
Argentina,2019,0.881,1.432,1.092,0.471,0.066,0.05,,6.086
Romania,2019,0.825,1.232,1.162,0.462,0.083,0.005,,6.07
Cyprus,2019,1.042,1.223,1.263,0.406,0.19,0.041,,6.046
