year,name,architecture,batch_size,epochs,optimizer,learning_rate,momentum,mode,k,n_train,n_test,n_columns,train_mse,valid_mse,test_mse,train_mape,valid_mape,test_mape,train_loss,valid_loss,test_loss
,arch0_B4_OAdam_L0.01_M0,arch0,4,100,Adam,0.01,0,kfold,5,625,,9,1.494467427333196,1.3205579648415249,,19.617576853434244,19.020731910069784,,1.50464459558328,1.3304140836000442,
,arch0_B4_Osgd_L0.01_M0,arch0,4,100,sgd,0.01,0,kfold,5,625,,9,49.199291931152345,30.19205665588379,,100.30620846557618,100.0,,3537076.658125,3528305.541875,
,arch0_B4_OAdam_L0.1_M0,arch0,4,100,Adam,0.1,0,kfold,5,625,,9,1.304885388082928,1.2722964392768012,,19.00451325310601,18.72510339948866,,1.3105955342451732,1.2776003897190094,
,arch0_B4_Osgd_L0.1_M0,arch0,4,100,sgd,0.1,0,kfold,5,625,,9,30.19489761734009,30.192058944702147,,100.00218634033205,100.0,,105.5499384765625,103.69331438827514,
,arch0_B8_OAdam_L0.01_M0,arch0,8,100,Adam,0.01,0,kfold,5,625,,9,4.72769343359717,1.8872343441535688,,22.300340086838293,21.628259119494206,,4.751586999564335,1.9108427138164128,
,arch0_B8_Osgd_L0.01_M0,arch0,8,100,sgd,0.01,0,kfold,5,625,,9,18.298250701904298,17.56784408354759,,66.38274168777465,65.3663378944397,,18.34478979372978,17.614256387472153,
,arch0_B8_OAdam_L0.1_M0,arch0,8,100,Adam,0.1,0,kfold,5,625,,9,30.94029058074951,30.19205665588379,,100.0862626953125,100.0,,30.970323207855223,30.22195064926148,
,arch0_B8_Osgd_L0.1_M0,arch0,8,100,sgd,0.1,0,kfold,5,625,,9,47795201.45905333,30.19205703735352,,517.500625,100.0,,4.043984274154289e+20,3.995266491036047e+20,
,arch0_B16_OAdam_L0.01_M0,arch0,16,100,Adam,0.01,0,kfold,5,625,,9,2.5274744975566863,2.999224382638931,,22.265510177612303,23.7557950592041,,2.5433389705419542,3.0149608820676805,
,arch0_B16_Osgd_L0.01_M0,arch0,16,100,sgd,0.01,0,kfold,5,625,,9,30.39225510025025,30.19205665588379,,100.04197756958008,100.0,,198.9494673156738,198.6500825805664,
,arch0_B16_OAdam_L0.1_M0,arch0,16,100,Adam,0.1,0,kfold,5,625,,9,30.264760391235352,30.19205703735352,,100.0331798400879,100.0,,30.282352382659912,30.209661319732668,
,arch0_B16_Osgd_L0.1_M0,arch0,16,100,sgd,0.1,0,kfold,5,625,,9,32.01299782562256,30.19205665588379,,100.11403494262696,100.0,,315107.96910253906,313113.0934199219,
,arch1_B4_OAdam_L0.01_M0,arch1,4,100,Adam,0.01,0,kfold,5,625,,9,72.05149703216553,30.19205703735352,,102.49516828918458,100.0,,72.05670428466797,30.197184268951418,
,arch1_B4_Osgd_L0.01_M0,arch1,4,100,sgd,0.01,0,kfold,5,625,,9,30.192059009552,30.192058181762697,,100.0,100.0,,30.19740641403198,30.19738090515137,
,arch1_B4_OAdam_L0.1_M0,arch1,4,100,Adam,0.1,0,kfold,5,625,,9,30.192056364171645,30.192057800292968,,100.0,100.0,,30.1926497964298,30.192628052655387,
,arch1_B4_Osgd_L0.1_M0,arch1,4,100,sgd,0.1,0,kfold,5,625,,9,30.191495653788248,30.192058944702147,,99.99882829454212,100.0,,30.19387862311469,30.19436818440755,
,arch1_B8_OAdam_L0.01_M0,arch1,8,100,Adam,0.01,0,kfold,5,625,,9,171.374304107666,30.19205665588379,,107.00304278564452,100.0,,171.38227648162842,30.20001127243042,
,arch1_B8_Osgd_L0.01_M0,arch1,8,100,sgd,0.01,0,kfold,5,625,,9,30.495583679199218,30.19205703735352,,100.06088409423828,100.0,,1405.7800384521483,1403.7805607910157,
,arch1_B8_OAdam_L0.1_M0,arch1,8,100,Adam,0.1,0,kfold,5,625,,9,30.442213165283203,30.19205665588379,,100.05107759094238,100.0,,30.4453688621521,30.195204887390137,
,arch1_B8_Osgd_L0.1_M0,arch1,8,100,sgd,0.1,0,kfold,5,625,,9,65.53718575668334,30.192057800292968,,100.60139013671876,100.0,,19073620.22480554,18836209.56000769,
,arch1_B16_OAdam_L0.01_M0,arch1,16,100,Adam,0.01,0,kfold,5,625,,9,175.76190623503464,2.885132903319138,,48.90731858473558,26.13091530433068,,175.77900772644924,2.9021428640072164,
,arch1_B16_Osgd_L0.01_M0,arch1,16,100,sgd,0.01,0,kfold,5,625,,9,30.192056812286378,30.19205703735352,,100.0,100.0,,30.20996778869629,30.20994911575317,
,arch1_B16_OAdam_L0.1_M0,arch1,16,100,Adam,0.1,0,kfold,5,625,,9,30.192057355244955,30.192057037353518,,100.0,100.0,,30.19274845123291,30.1927404721578,
,arch1_B16_Osgd_L0.1_M0,arch1,16,100,sgd,0.1,0,kfold,5,625,,9,30.19205689239502,30.192058181762697,,100.0,100.0,,30.193862548828125,30.193839237213133,
