name,architecture,batch_size,epochs,optimizer,learning_rate,momentum,mode,k,n_train,n_test,n_columns,train_mse,valid_mse,test_mse,train_mape,valid_mape,test_mape,train_loss,valid_loss,test_loss
arch0_B4_OAdam_L0.01_M0,arch0,4,100,Adam,0.01,0.0,kfold,5,625,,8,0.0373579001197448,0.0345564551651477,,735651.6656690744,800126.9375632653,,0.0451422511385037,0.0417174955113576,
arch0_B4_OAdam_L0.01_M0.01,arch0,4,100,Adam,0.01,0.01,kfold,5,625,,8,0.0252877323943025,0.0276991540785221,,655139.7560365564,516828.8961585101,,0.038714445820626,0.040731138757923,
arch0_B4_OAdam_L0.01_M0.05,arch0,4,100,Adam,0.01,0.05,kfold,5,625,,8,0.0507768869932208,0.0504529705537217,,824136.9142710004,891189.0134947095,,0.0513919318893126,0.0508042031633002,
arch0_B4_OAdam_L0.01_M0.1,arch0,4,100,Adam,0.01,0.1,kfold,5,625,,8,0.0497103255508201,0.049060414305755,,867554.5424054827,849447.6736554827,,0.050233600102365,0.049404414370656,
arch0_B4_OAdam_L0.01_M0.2,arch0,4,100,Adam,0.01,0.2,kfold,5,625,,8,0.0270249963272362,0.0195106416319807,,668795.7375643731,667024.9940652212,,0.038639706124862,0.0308036031201481,
arch0_B4_Osgd_L0.01_M0,arch0,4,100,sgd,0.01,0.0,kfold,5,625,,8,0.0260796454362571,0.017429933970794,,673617.249636467,666632.9100109634,,0.0623664615675807,0.0535562025979161,
arch0_B4_Osgd_L0.01_M0.01,arch0,4,100,sgd,0.01,0.01,kfold,5,625,,8,0.3294564708471298,0.3294564604759216,,99.84000244140626,99.83999938964844,,0.3482016300559044,0.348094435095787,
arch0_B4_Osgd_L0.01_M0.05,arch0,4,100,sgd,0.01,0.05,kfold,5,625,,8,0.0303666987971347,0.0358388967812061,,715546.2907283917,586558.6884427059,,0.0793133531335522,0.0845585210270741,
arch0_B4_Osgd_L0.01_M0.1,arch0,4,100,sgd,0.01,0.1,kfold,5,625,,8,0.2236883888244629,0.2172725677937269,,189923.9301903534,845353.1897270813,,0.2410691108033061,0.2345453624427318,
arch0_B4_Osgd_L0.01_M0.2,arch0,4,100,sgd,0.01,0.2,kfold,5,625,,8,0.1722394103556871,0.1721027024462819,,599060.8000204163,82.15562227630615,,0.1885833437815308,0.188330173946917,
arch0_B4_OAdam_L0.05_M0,arch0,4,100,Adam,0.05,0.0,kfold,5,625,,8,0.0511198369929423,0.0510310086493308,,846362.4496476393,800432.9693288363,,0.0528049726325732,0.0525486683616271,
arch0_B4_OAdam_L0.05_M0.01,arch0,4,100,Adam,0.05,0.01,kfold,5,625,,8,0.051410011947155,0.0508738331496715,,852649.4171474751,895407.4040174044,,0.0530541016505314,0.0523898650820438,
arch0_B4_OAdam_L0.05_M0.05,arch0,4,100,Adam,0.05,0.05,kfold,5,625,,8,0.0509200413245707,0.0512390659656375,,851519.5451840401,849593.1086416722,,0.0525624773930758,0.0527037307620048,
